Sr No	Gene ID	Specie	Gene name	Gene Description
S000000001	YAL001C	S. cerevisiae	TFC3	Transcription Factor class C
S000000002	YAL002W	S. cerevisiae	VPS8	Vacuolar Protein Sorting
S000000003	YAL003W	S. cerevisiae	EFB1	Elongation Factor Beta
S000000004	YAL005C	S. cerevisiae	SSA1	Stress-Seventy subfamily A
S000000005	YAL007C	S. cerevisiae	ERP2	Emp24p/Erv25p Related Protein
S000000007	YAL009W	S. cerevisiae	SPO7	SPOrulation
S000000008	YAL010C	S. cerevisiae	MDM10	Mitochondrial Distribution and Morphology
S000000010	YAL012W	S. cerevisiae	CYS3	CYStathionine gamma-lyase
S000000011	YAL013W	S. cerevisiae	DEP1	Disability in regulation of Expression of genes involved in Phospholipid biosynthesis
S000000012	YAL014C	S. cerevisiae	SYN8	SYNtaxin
S000000013	YAL015C	S. cerevisiae	NTG1	eNdonuclease Three-like Glycosylase
S000000014	YAL016W	S. cerevisiae	TPD3	tRNA Processing Deficient
S000000016	YAL018C	S. cerevisiae	LDS1	Lipid Droplets in Sporulation
S000000017	YAL019W	S. cerevisiae	FUN30	Function Unknown Now
S000000019	YAL021C	S. cerevisiae	CCR4	Carbon Catabolite Repression
S000000020	YAL022C	S. cerevisiae	FUN26	Function Unknown Now
S000000021	YAL023C	S. cerevisiae	PMT2	Protein O-MannosylTransferase
S000000022	YAL024C	S. cerevisiae	LTE1	Low Temperature Essential
S000000023	YAL025C	S. cerevisiae	MAK16	MAintenance of Killer
S000000024	YAL026C	S. cerevisiae	DRS2	Deficiency of Ribosomal Subunits
S000000027	YAL029C	S. cerevisiae	MYO4	MYOsin
S000000028	YAL030W	S. cerevisiae	SNC1	Suppressor of the Null allele of CAP
S000000030	YAL032C	S. cerevisiae	PRP45	Pre-mRNA Processing
S000000031	YAL033W	S. cerevisiae	POP5	Processing Of Precursor RNAs
S000000032	YAL034W-A	S. cerevisiae	MTW1	Mis TWelve-like
S000000033	YAL035W	S. cerevisiae	FUN12	Function Unknown Now
S000000034	YAL036C	S. cerevisiae	RBG1	RiBosome interacting Gtpase
S000000036	YAL038W	S. cerevisiae	CDC19	Cell Division Cycle
S000000037	YAL039C	S. cerevisiae	CYC3	CYtochrome C
S000000038	YAL040C	S. cerevisiae	CLN3	CycLiN
S000000039	YAL041W	S. cerevisiae	CDC24	Cell Division Cycle
S000000040	YAL042W	S. cerevisiae	ERV46	ER Vesicle
S000000041	YAL043C	S. cerevisiae	PTA1	Pre-Trna Accumulation
S000000042	YAL044C	S. cerevisiae	GCV3	GlyCine cleaVage
S000000044	YAL046C	S. cerevisiae	BOL3	BolA-like protein
S000000046	YAL048C	S. cerevisiae	GEM1	GTPase EF-hand protein of Mitochondria
S000000047	YAL049C	S. cerevisiae	AIM2	Altered Inheritance rate of Mitochondria
S000000049	YAL053W	S. cerevisiae	FLC2	FLavin Carrier
S000000050	YAL054C	S. cerevisiae	ACS1	Acetyl CoA Synthetase
S000000054	YAL058W	S. cerevisiae	CNE1	CalNExin and calreticulin homolog
S000000056	YAL060W	S. cerevisiae	BDH1	Butanediol DeHydrogenase
S000000057	YAL061W	S. cerevisiae	BDH2	
S000000058	YAL062W	S. cerevisiae	GDH3	Glutamate DeHydrogenase
S000000062	YAL067C	S. cerevisiae	SEO1	Suppressor of sulfoxyde EthiOnine resistance
S000000063	YAR002W	S. cerevisiae	NUP60	NUclear Pore
S000000064	YAR003W	S. cerevisiae	SWD1	Set1c, WD40 repeat protein
S000000065	YAR007C	S. cerevisiae	RFA1	Replication Factor A
S000000066	YAR008W	S. cerevisiae	SEN34	Splicing ENdonuclease
S000000070	YAR015W	S. cerevisiae	ADE1	ADEnine requiring
S000000071	YAR018C	S. cerevisiae	KIN3	protein KINase
S000000072	YAR019C	S. cerevisiae	CDC15	Cell Division Cycle
S000000080	YAR035W	S. cerevisiae	YAT1	
S000000081	YAR042W	S. cerevisiae	SWH1	
S000000094	YAR071W	S. cerevisiae	PHO11	PHOsphate metabolism
S000000097	YBL001C	S. cerevisiae	ECM15	ExtraCellular Mutant
S000000098	YBL002W	S. cerevisiae	HTB2	Histone h Two B
S000000099	YBL003C	S. cerevisiae	HTA2	Histone h Two A
