Gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
YALI0_A00264g	4952.CAG83529	0	2194	COG0060@1|root,KOG0434@2759|Eukaryota,38CIS@33154|Opisthokonta,3NVSZ@4751|Fungi,3QMG7@4890|Ascomycota,3RSQU@4891|Saccharomycetes	4891|Saccharomycetes	J	Belongs to the class-I aminoacyl-tRNA synthetase family	ILS1	GO:0003674,GO:0003824,GO:0004812,GO:0004822,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006428,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1
YALI0_A00286g	4952.CAG83530	3.57E-260	713	COG1163@1|root,KOG1487@2759|Eukaryota,38DRY@33154|Opisthokonta,3NWDJ@4751|Fungi,3QMIN@4890|Ascomycota,3RTVS@4891|Saccharomycetes	4891|Saccharomycetes	T	to Saccharomyces cerevisiae RBG1 (YAL036C)	-	GO:0000166,GO:0001882,GO:0001883,GO:0002181,GO:0003674,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005844,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010494,GO:0010646,GO:0010647,GO:0017076,GO:0019001,GO:0019538,GO:0032101,GO:0032103,GO:0032104,GO:0032106,GO:0032107,GO:0032109,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0034641,GO:0034645,GO:0035639,GO:0035770,GO:0036094,GO:0036464,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0065007,GO:0071704,GO:0080134,GO:0080135,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903832,GO:1903833,GO:1990904	-	ko:K06944	-	-	-	-	ko00000	-	-	-	MMR_HSR1,MMR_HSR1_Xtn,TGS
YALI0_A00396g	4952.CAG83535	7.67E-243	681	28MZB@1|root,2QUI6@2759|Eukaryota,38HPW@33154|Opisthokonta,3NZ44@4751|Fungi,3QMTA@4890|Ascomycota,3RWF0@4891|Saccharomycetes	4891|Saccharomycetes	S	von Willebrand factor (vWF) type A domain	-	-	-	-	-	-	-	-	-	-	-	-	-
YALI0_A00418g	4952.CAG83536	0	1081	KOG2504@1|root,KOG2504@2759|Eukaryota,39S9J@33154|Opisthokonta,3NWXD@4751|Fungi,3QQE7@4890|Ascomycota,3RSKS@4891|Saccharomycetes	4890|Ascomycota	G	to uniprot Q08268 Saccharomyces cerevisiae YOL119C MCH4 Protein with similarity to mammalian monocarboxylate permeases which are involved in transport of monocarboxylic acids across the plasma membrane mutant is not deficient in monocarboxylate transport	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
YALI0_A00440g	4952.CAG83537	4.67E-116	333	2CUXP@1|root,2S4F4@2759|Eukaryota,3A7DW@33154|Opisthokonta,3P5B2@4751|Fungi,3QY4Q@4890|Ascomycota,3RV7U@4891|Saccharomycetes	4891|Saccharomycetes	S	Saccharomyces cerevisiae	-	-	-	-	-	-	-	-	-	-	-	-	FUN14
YALI0_A00506g	4952.CAG83538	0	1646	COG5072@1|root,KOG2464@2759|Eukaryota,39UH0@33154|Opisthokonta,3P28B@4751|Fungi,3QNMS@4890|Ascomycota,3RU0B@4891|Saccharomycetes	4891|Saccharomycetes	D	to Saccharomyces cerevisiae ALK2 (YBL009W) and ALK1 (YGL021W)	-	GO:0000003,GO:0000278,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007049,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0022414,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051321,GO:0051716,GO:0065007,GO:0071704,GO:0140096,GO:1901564	2.7.11.1	ko:K16315	-	-	-	-	ko00000,ko01000,ko01001,ko03036	-	-	-	Haspin_kinase
YALI0_A00528g	4952.CAG83539	0	1037	KOG0255@1|root,KOG0255@2759|Eukaryota,39RVW@33154|Opisthokonta,3NY28@4751|Fungi,3QKER@4890|Ascomycota,3RXAZ@4891|Saccharomycetes	4890|Ascomycota	S	Major Facilitator Superfamily	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
YALI0_A00594g	4952.CAG83542	1.2E-259	717	KOG0724@1|root,KOG0724@2759|Eukaryota,38C3A@33154|Opisthokonta,3NVPA@4751|Fungi,3QP5W@4890|Ascomycota,3RRKE@4891|Saccharomycetes	4891|Saccharomycetes	O	to Saccharomyces cerevisiae ZUO1 (YGR285C)	ZUO1	GO:0000054,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0005840,GO:0005844,GO:0006139,GO:0006364,GO:0006396,GO:0006403,GO:0006405,GO:0006412,GO:0006414,GO:0006450,GO:0006452,GO:0006457,GO:0006458,GO:0006518,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015931,GO:0016070,GO:0016072,GO:0019538,GO:0022613,GO:0031503,GO:0031974,GO:0031981,GO:0032991,GO:0033036,GO:0033750,GO:0034470,GO:0034613,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042886,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0045184,GO:0046483,GO:0046907,GO:0050657,GO:0050658,GO:0051082,GO:0051083,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051640,GO:0051641,GO:0051649,GO:0051656,GO:0065007,GO:0065008,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071428,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K09522	-	-	-	-	ko00000,ko03110	-	-	-	DnaJ,RAC_head
YALI0_A00616g	4952.CAG83543	0	2165	COG1196@1|root,KOG0964@2759|Eukaryota,38BNB@33154|Opisthokonta,3NWDY@4751|Fungi,3QPAP@4890|Ascomycota,3RRP4@4891|Saccharomycetes	4891|Saccharomycetes	D	Structural maintenance of chromosomes protein	SMC3	GO:0000003,GO:0000070,GO:0000228,GO:0000278,GO:0000280,GO:0000724,GO:0000725,GO:0000793,GO:0000794,GO:0000798,GO:0000819,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007059,GO:0007062,GO:0007064,GO:0007127,GO:0007129,GO:0007130,GO:0007131,GO:0007135,GO:0008150,GO:0008152,GO:0008278,GO:0009653,GO:0009987,GO:0016043,GO:0019899,GO:0019900,GO:0019901,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022607,GO:0030154,GO:0030435,GO:0030437,GO:0030892,GO:0031974,GO:0031981,GO:0032502,GO:0032505,GO:0032991,GO:0033554,GO:0034293,GO:0034641,GO:0034990,GO:0035825,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0044703,GO:0045132,GO:0045143,GO:0045144,GO:0046483,GO:0048285,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0050896,GO:0051177,GO:0051276,GO:0051321,GO:0051704,GO:0051716,GO:0061982,GO:0061983,GO:0070013,GO:0070192,GO:0070193,GO:0071704,GO:0071840,GO:0090304,GO:0098813,GO:0140013,GO:0140014,GO:1901360,GO:1903046,GO:1903047,GO:1990414	-	ko:K06669	ko04110,ko04111,ko04113,ko04114,map04110,map04111,map04113,map04114	-	-	-	ko00000,ko00001,ko00535,ko03036	-	-	-	SMC_N,SMC_hinge
YALI0_A00638g	4952.CAG83544	6.15E-161	450	KOG3178@1|root,KOG3178@2759|Eukaryota,38ZRJ@33154|Opisthokonta,3NX0G@4751|Fungi,3QU1X@4890|Ascomycota,3RR3S@4891|Saccharomycetes	4891|Saccharomycetes	S	Saccharomyces cerevisiae YBR261C	-	GO:0002181,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006464,GO:0006479,GO:0006480,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008213,GO:0008276,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016740,GO:0016741,GO:0018016,GO:0018193,GO:0018208,GO:0019538,GO:0031365,GO:0032259,GO:0034641,GO:0034645,GO:0035568,GO:0036211,GO:0043043,GO:0043170,GO:0043412,GO:0043414,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071885,GO:0140096,GO:1901564,GO:1901566,GO:1901576	2.1.1.244	ko:K16219	-	-	-	-	ko00000,ko01000	-	-	-	Methyltransf_PK
