#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome V","NC_001137.3",264,4097,"-",856630,,"YEL077C","NP_010835.1",1277,"Y\\' element ATP-dependent helicase"
"chromosome V","NC_001137.3",4185,5114,"-",856632,,"YEL076C-A","NP_010836.1",216,"uncharacterized protein YEL076C-A"
"chromosome V","NC_001137.3",4464,5114,"-",856633,,"YEL076C","NP_010837.1",216,"uncharacterized protein YEL076C"
"chromosome V","NC_001137.3",5345,5713,"-",856634,,"YEL075C","NP_010839.1",122,"uncharacterized protein YEL075C"
"chromosome V","NC_001137.3",7230,7553,"-",856636,,"YEL073C","NP_010841.1",107,"uncharacterized protein YEL073C"
"chromosome V","NC_001137.3",13720,14415,"+",856637,"RMD6","YEL072W","NP_010842.1",231,"Rmd6p"
"chromosome V","NC_001137.3",16355,17845,"+",856638,"DLD3","YEL071W","NP_010843.1",496,"D-lactate dehydrogenase"
"chromosome V","NC_001137.3",19589,21097,"+",856639,"DSF1","YEL070W","NP_010844.1",502,"mannitol dehydrogenase DSF1"
"chromosome V","NC_001137.3",21537,23231,"-",856640,"HXT13","YEL069C","NP_010845.1",564,"hexose transporter HXT13"
"chromosome V","NC_001137.3",25646,25978,"-",856641,,"YEL068C","NP_001257672.1",110,"uncharacterized protein YEL068C"
"chromosome V","NC_001137.3",26189,26776,"-",856643,,"YEL067C","NP_010847.1",195,"uncharacterized protein YEL067C"
"chromosome V","NC_001137.3",26721,27206,"+",856642,"HPA3","YEL066W","NP_010848.2",161,"D-amino-acid N-acetyltransferase"
"chromosome V","NC_001137.3",27657,29543,"+",856644,"SIT1","YEL065W","NP_010849.3",628,"siderophore transporter"
"chromosome V","NC_001137.3",29797,31239,"-",856645,"AVT2","YEL064C","NP_010850.1",480,"Avt2p"
"chromosome V","NC_001137.3",31694,33466,"-",856646,"CAN1","YEL063C","NP_010851.1",590,"arginine permease CAN1"
"chromosome V","NC_001137.3",34407,36254,"+",856647,"NPR2","YEL062W","NP_010852.4",615,"nitrogen permease regulating protein NPR2"
